match_id,league_id,season,date,home_team_id,away_team_id,home_score,away_score,status,referee,venue,bookmaker,home_odds,draw_odds,away_odds,event_date,home_team_name,away_team_name,player_id,team_id,name,age,nationality,position,height,weight,appearances,goals,assists,yellow_cards,red_cards,country,founded,logo,venue_name,venue_address,venue_city,venue_capacity
831395,113.0,2022.0,2022-08-20,2171.0,364.0,2.0,2.0,FT,V. Wolf,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831396,113.0,2022.0,2022-08-28,377.0,363.0,2.0,2.0,FT,A. Ekberg,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831397,113.0,2022.0,2022-08-27,367.0,2163.0,4.0,1.0,FT,K. Karlsson,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831398,113.0,2022.0,2022-08-27,2172.0,373.0,3.0,1.0,FT,F. Klitte,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831399,113.0,2022.0,2022-08-29,364.0,372.0,2.0,1.0,FT,B. Pandzic,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831400,113.0,2022.0,2022-08-28,811.0,2240.0,0.0,1.0,FT,G. Nyberg,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831401,113.0,2022.0,2022-08-28,366.0,370.0,2.0,0.0,FT,J. Östling,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831402,113.0,2022.0,2022-08-28,375.0,374.0,0.0,1.0,FT,M. Al Hakim,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831403,113.0,2022.0,2022-08-28,2171.0,378.0,1.0,1.0,FT,G. Maqedonci,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831404,113.0,2022.0,2022-09-04,377.0,373.0,4.0,0.0,FT,G. Maqedonci,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
